,"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,repnum
0,33.79840074827459,,34.792640769653865,0.7984007482745881,4.201599251725419,114.89198955617368,py,"[1.0, 0.0]",DP,9
1,16.31115961904698,,16.80576417959118,16.68884038095302,53.109684658505465,10080.920672649072,py,"[1.0, 0.0]",NIG,9
2,24.537118985162575,,25.266750956167225,8.462881014837425,26.55158727647511,5392.922927158748,py,"[1.0, 0.0]",NGG,9
3,52.33564497008112,97.70029110715949,558.1590042960938,2900.0933053262984,1844.8574047295265,802.7965272052339,py,"[1.0, 0.25]",DP,9
4,25.646400562650346,47.52415776975563,273.6238494070025,1428.448781527238,848.1286855137354,4215.345653966952,py,"[1.0, 0.25]",NIG,9
5,29.107000221416687,54.03013100957092,310.5174476252448,1619.2661931833911,977.3672286865964,3772.865298835317,py,"[1.0, 0.25]",NGG,9
6,567.9513384108334,558.3795878836861,718.8339648756725,1084.722695115508,2818.4221903271914,3355.266732093517,py,"[1.0, 0.5]",DP,9
7,302.48166349838823,296.6180984146707,379.4316180930218,564.7236675387713,1446.161086949672,2267.1486121505222,py,"[1.0, 0.5]",NIG,9
8,306.2266499761706,300.31077343975187,384.21957438086474,572.0528796957857,1465.5196041808051,2279.711098917949,py,"[1.0, 0.5]",NGG,9
9,501.5065382303203,537.546910458079,550.2647055884937,700.2312827939644,873.6790407486121,2124.5318535351403,py,"[1.0, 0.75]",DP,9
10,299.23053771444347,320.1475771281095,325.46972513599417,405.3358163911763,477.1524650653659,1427.9344705348333,py,"[1.0, 0.75]",NIG,9
11,227.71904964979976,243.2894733934205,245.99700706453655,301.08017769851483,342.10544138260934,1268.1345634501813,py,"[1.0, 0.75]",NGG,9
12,55.98716994009709,1030.8759717979349,1079.733579003092,2828.9709611017875,14330.756662923706,10532.54375721632,py,"[10.0, 0.0]",DP,9
13,27.528786020987976,514.7264271563814,536.3306080274441,1400.5600183162326,7103.84876626335,5122.9003302999945,py,"[10.0, 0.0]",NIG,9
14,28.34643269220088,529.5560801058884,551.9432876373743,1441.6001369614958,7311.487302649066,5236.888108390433,py,"[10.0, 0.0]",NGG,9
15,304.9960149808201,416.59336072466095,1299.7996847444888,1973.9889351696736,3675.988411115285,9249.594311822815,py,"[10.0, 0.25]",DP,9
16,154.66668080178204,210.65257808420225,656.7586189681991,988.1914903864038,1808.513600503566,4203.369976233229,py,"[10.0, 0.25]",NIG,9
17,158.00757984373465,215.22937852823983,671.0494777172282,1010.0997211174288,1850.01611123918,4312.7588355645175,py,"[10.0, 0.25]",NGG,9
18,589.33802728081,370.7401774526798,416.2713255281779,836.5274156949032,1782.382286068139,3774.542343579782,py,"[10.0, 0.5]",DP,9
19,358.07176754233876,224.4912159130673,249.8225180963552,496.1028328741241,1033.569977064108,2221.9315189028207,py,"[10.0, 0.5]",NIG,9
20,352.8698164971508,221.20187885091977,246.07961116829628,488.445323715184,1016.7387958315512,2190.075662999661,py,"[10.0, 0.5]",NGG,9
21,478.6110095814637,517.9268476915069,610.5314746826654,654.1579955241137,893.1279377933035,1594.9777468558473,py,"[10.0, 0.75]",DP,9
22,281.8536458149792,304.4099406828813,356.63178859760814,372.49524370361314,479.1671916220509,1102.4042969793177,py,"[10.0, 0.75]",NIG,9
23,223.69377343079765,241.2960839724171,281.5811116703865,289.2380309230077,359.544137810253,1028.5954031283602,py,"[10.0, 0.75]",NGG,9
24,757.4383457868822,727.1980704593446,1077.826874777962,1763.412478753431,2767.6241092687333,4132.3572229803185,py,"[100.0, 0.0]",DP,9
25,402.09440132815377,385.1789791973439,568.6452044460162,920.8720377220344,1406.1676427104414,1900.5941650879347,py,"[100.0, 0.0]",NIG,9
26,379.3455725925997,363.28319666681426,536.0478103035366,866.933287689312,1319.0083130760956,1762.950295794954,py,"[100.0, 0.0]",NGG,9
27,598.0946444530889,560.5586951568631,704.260579546742,1105.5317253128817,2028.43754269986,2897.196107200268,py,"[100.0, 0.25]",DP,9
28,379.01312751168825,354.59547949712976,443.6077345485062,689.0805033870059,1243.4925205357972,1638.5810961263471,py,"[100.0, 0.25]",NIG,9
29,313.1394904632955,292.6710199407728,365.31297871401426,563.9251880018385,1007.8158953821496,1270.17649921596,py,"[100.0, 0.25]",NGG,9
30,436.6779031878544,453.5516341426507,530.0913710557319,645.0409215019723,909.184672501024,987.5091370306236,py,"[100.0, 0.5]",DP,9
31,279.72959765765336,289.9670355551769,336.9294539760979,401.9335375907391,539.4862509085833,529.5287271680195,py,"[100.0, 0.5]",NIG,9
32,215.81595591048804,223.35091380633827,258.26863934851946,303.02851717264804,390.02185000862585,378.2892139032465,py,"[100.0, 0.5]",NGG,9
33,244.01197175966976,253.11551219357983,257.66366030401144,285.918665383263,308.39260422060113,281.70889009752085,py,"[100.0, 0.75]",DP,9
34,147.103790054312,151.99870565781293,152.56071415337516,160.48077555683665,148.17407836555466,170.22405278286115,py,"[100.0, 0.75]",NIG,9
35,76.98585336074893,78.83561752055665,76.51345380022858,70.40924230746973,68.7869433148956,269.54323581981623,py,"[100.0, 0.75]",NGG,9
36,270.522432473477,281.9857247036294,297.31487477836225,324.4941478396495,350.7728571477976,229.23173511422343,py,"[1000.0, 0.0]",DP,9
37,187.8434861329144,195.27450191462395,203.9568990953891,215.74565640222497,210.38109714820328,109.91122884118252,py,"[1000.0, 0.0]",NIG,9
38,169.02225223266242,175.53535092004932,182.70466530970936,191.0507810034207,179.17020856957313,103.55011197944326,py,"[1000.0, 0.0]",NGG,9
