"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",Params,Model,J
2264.6546878605086,2297.543960487581,2296.6511367814805,2259.8032973136233,2467.2387680992274,2258.3831387284704,"[100.0, 0.25]",DP,10
771.411853273576,844.3536132283974,859.2976961765811,1060.3677844891977,1546.428266052938,2017.2457136432347,"[100.0, 0.25]",DP,100
149.47661621419647,153.61626659721284,256.67975636056184,571.8098507946868,1311.3024317505165,2242.817662503724,"[100.0, 0.25]",DP,1000
29.212889288802113,105.89535136571773,225.8701115862517,603.3925418221439,1453.2243294081886,2526.994122517195,"[100.0, 0.25]",DP,10000
848.1712147751656,859.4701865345774,855.1006242259712,825.9572012092042,845.7260956679654,614.976059839795,"[100.0, 0.25]",NGG,10
378.84595530549706,413.8919973159596,418.04416686228245,504.6753958872017,697.894490942359,752.2769989514264,"[100.0, 0.25]",NGG,100
90.290927586761,92.57315966670328,153.1851717531189,333.6958580675705,745.0773790348268,1136.9040145347835,"[100.0, 0.25]",NGG,1000
17.517664345749083,62.86968419791196,131.7410614831537,343.7710466378746,808.3773769605451,1259.3708645196305,"[100.0, 0.25]",NGG,10000
535.7225794105667,538.4973753968633,525.8463778006044,516.1824260628975,434.65578568767654,301.0078785957167,"[100.0, 0.75]",DP,10
322.58752996290593,322.9432594244155,341.56934025699434,355.9890972134434,418.1814654316202,421.21785749667606,"[100.0, 0.75]",DP,100
57.24461806560631,58.66670084936887,76.1209934809102,115.06787698472185,293.62744223425165,511.56831882762475,"[100.0, 0.75]",DP,1000
11.201173286272407,21.11746532859949,40.24250140865765,115.88954719399437,384.7520456218774,720.7915981986682,"[100.0, 0.75]",DP,10000
94.76805563531485,94.00484693642845,87.11503634961863,66.41785449907411,42.80020271969478,443.08178395985146,"[100.0, 0.75]",NGG,10
83.42453142995114,82.3853351613554,83.07744919859756,70.61099796452979,68.98484120609828,337.91394568664987,"[100.0, 0.75]",NGG,100
42.91049285067609,43.605666744130495,55.40383505688151,82.55830562175922,204.02793316793927,396.2034353396786,"[100.0, 0.75]",NGG,1000
11.086543760376141,20.90172092580385,39.86407423452214,114.79478083422273,380.2253404059731,710.6175015671677,"[100.0, 0.75]",NGG,10000
1786.9496064078685,1904.6165106124865,1855.1864581877428,2027.7661526697607,2073.0075547570314,1560.9925114190253,"[100.0, 0.25]",DP,10
746.0138299755798,843.9256641959214,808.6041043358741,1060.7227969672158,1440.5517963025466,2159.7491010192734,"[100.0, 0.25]",DP,100
141.24645860399025,214.26994891634902,290.3559374174667,682.669057359203,1543.7075559482175,2521.053688426354,"[100.0, 0.25]",DP,1000
37.11858834820878,104.63983832314706,185.0982462514163,615.5932019647141,1484.085808522637,2523.644393463127,"[100.0, 0.25]",DP,10000
975.3518244268163,1038.841864990937,1008.9696642541207,1092.1027359919208,1071.0799502184682,738.7194265256614,"[100.0, 0.25]",NGG,10
388.03353581979894,438.21753554559785,416.8974176652491,536.5313101943219,686.0710739426037,859.4496730275786,"[100.0, 0.25]",NGG,100
84.43655804224542,127.84865164051466,171.46443363988774,395.79751116930277,870.7137912909152,1305.4393316155952,"[100.0, 0.25]",NGG,1000
21.796249252551416,61.03134203124845,105.61690533432208,344.4492713189562,806.9145170263727,1262.2078669612692,"[100.0, 0.25]",NGG,10000
366.01609650004707,367.93281341910875,361.51435711099447,343.09581710093545,266.5522857649894,156.1945744815042,"[100.0, 0.75]",DP,10
243.6217155032452,245.09347594628233,248.35855977211318,265.50217820423836,240.78685033291436,204.0423953437205,"[100.0, 0.75]",DP,100
52.063267759291406,55.17614683230663,62.37216390839022,134.59582418382567,203.60088387184956,229.3174027670505,"[100.0, 0.75]",DP,1000
10.375449116560292,17.662392208152912,34.64288809272316,125.47839522240834,253.68655866769552,344.28258578703856,"[100.0, 0.75]",DP,10000
87.88998634282135,87.19533879308258,81.32040417674466,59.37544092542656,36.324841569293284,398.56710879893717,"[100.0, 0.75]",NGG,10
79.06694182587016,78.51995160540305,75.75348321681511,66.58095664334185,55.33818025371891,322.6021032793331,"[100.0, 0.75]",NGG,100
41.13443325320669,43.29122651196,47.851824602662106,102.41920537417937,150.1082768607416,196.45481666703952,"[100.0, 0.75]",NGG,1000
10.664771530048053,18.16175123838206,35.5226731817149,128.71100510047776,262.0602416151511,360.5152697781998,"[100.0, 0.75]",NGG,10000
2970.8429641206408,2951.653246963889,2979.0603730234557,3019.5193739249694,3441.2955129684306,3771.3562362375537,"[100.0, 0.25]",DP,10
822.0861829129856,798.1529047644885,931.3218001149962,1358.1100869611446,1860.8183833001053,2496.8913719622087,"[100.0, 0.25]",DP,100
83.12314645724189,164.2830126143184,317.8385567525528,767.7676136512274,1566.979736908923,2605.613823933247,"[100.0, 0.25]",DP,1000
23.7154406533448,87.84254678016774,204.31253932616846,729.8177838399341,1656.211626653638,2862.0941375146504,"[100.0, 0.25]",DP,10000
1090.7244248274017,1082.615498796098,1088.8143172753598,1087.7554094068262,1179.378849529507,1033.3024824559232,"[100.0, 0.25]",NGG,10
413.0809752355589,400.2085782352266,464.3149129128688,666.6019948120301,870.5065562626623,943.5371899182161,"[100.0, 0.25]",NGG,100
49.03726728654904,96.8251942578613,185.49497663173668,440.56316651203076,873.9305974172765,1291.412457186972,"[100.0, 0.25]",NGG,1000
13.94461816416961,50.92496365312754,115.81127800154353,407.5482790488299,901.9755479499639,1395.3939157240552,"[100.0, 0.25]",NGG,10000
741.5934790478827,742.3935244600619,735.5798779555253,727.6790182240621,664.5335977821837,394.2040267351794,"[100.0, 0.75]",DP,10
