100,1000,10000,100000,DataGen,Params,Model,repnum
0.7068180747635915,0.00344560080056322,0.09653302322313628,3.7639236476699693,py,"[1.0, 0.0]",DP,1
10.574456552943701,54.354469259242244,200.23088585378468,639.3812541756819,py,"[1.0, 0.0]",NIG,1
1.264373473230929,12.836279222452713,19.676555165339266,9.883713287593629,py,"[1.0, 0.0]",NGG,1
1.905855345696418,4.8187208229689205,21.42179957434457,44.079351234501225,py,"[1.0, 0.25]",DP,1
13.283308232742186,86.30574148729647,217.5406587431262,881.8563244204216,py,"[1.0, 0.25]",NIG,1
2.1860971430462026,39.01226814956026,187.85245274551835,422.342237559764,py,"[1.0, 0.25]",NGG,1
2.717789282124822,13.508900504036173,44.53180960689427,161.25735138628986,py,"[1.0, 0.5]",DP,1
8.50999230204632,45.22700510022503,213.1063068160512,472.4687564007436,py,"[1.0, 0.5]",NIG,1
2.791414994458413,20.586038945288564,148.88008362265077,536.0952577195054,py,"[1.0, 0.5]",NGG,1
11.599959149794188,58.81774819867157,406.46356142071954,2427.231301302102,py,"[1.0, 0.75]",DP,1
0.6377184303562622,17.385451455917305,33.30416639948214,1248.6203921540505,py,"[1.0, 0.75]",NIG,1
10.05851817064237,20.519028373770382,144.88584941053455,1231.7027405219649,py,"[1.0, 0.75]",NGG,1
11.172141261472747,33.39595975915755,56.89955773880812,85.4792218992673,py,"[10.0, 0.0]",DP,1
4.0068851177098,71.15092478144912,294.8911246397301,888.0355474899567,py,"[10.0, 0.0]",NIG,1
10.890875514805511,11.122621716772898,268.4223021726969,1034.3236724272456,py,"[10.0, 0.0]",NGG,1
21.001010970983685,75.68726966005957,165.78045249702885,318.602508805736,py,"[10.0, 0.25]",DP,1
6.565148957006379,25.07724105017003,159.589848020683,825.378133579761,py,"[10.0, 0.25]",NIG,1
NaN,68.05169398154436,93.9313882801838,908.5807205060917,py,"[10.0, 0.25]",NGG,1
25.160594035540832,131.06912557282786,470.2265536476791,1392.2998099047575,py,"[10.0, 0.5]",DP,1
