"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,J,repnum
44.169354838709666,349.987012987013,256.1617647058824,1086.3529411764705,4514.324324324324,15719.145454545456,py,"[10.0, 0.25]",D-CMS,50,1
44.169354838709666,349.987012987013,256.1617647058824,1086.3529411764705,4514.324324324324,15719.145454545456,py,"[10.0, 0.25]",D-CMS,100,1
44.169354838709666,349.987012987013,256.1617647058824,1086.3529411764705,4514.324324324324,15719.145454545456,py,"[10.0, 0.25]",D-CMS,500,1
77282.28225806449,76978.90909090909,77073.8088235294,76244.37254901961,72816.67567567568,61611.85454545455,py,"[10.0, 0.25]",D-CMS,1000,1
108.77153410553075,120.6087096774193,157.89734824281172,344.19308231173346,958.7687817258883,4536.096534653464,py,"[10.0, 0.75]",D-CMS,50,1
62.559382239383034,75.75235732009881,112.79808306709258,311.7758318739049,950.6903553299494,4552.336633663366,py,"[10.0, 0.75]",D-CMS,100,1
60.42455598455694,75.84069478908178,110.65750798722038,321.0998248686514,976.9796954314718,4557.712871287131,py,"[10.0, 0.75]",D-CMS,500,1
31375.012252251978,31339.951861042264,31353.579552715615,31176.281961471097,30566.248730964468,26971.108910891093,py,"[10.0, 0.75]",D-CMS,1000,1
55.66084337349405,102.24918699186996,421.334464751958,792.8830238726787,2248.2866666666687,6277.119889502758,py,"[100.0, 0.25]",D-CMS,50,1
38.01656626506027,83.53252032520342,401.38642297650085,778.331564986737,2219.524444444444,6254.546961325966,py,"[100.0, 0.25]",D-CMS,100,1
59.77409638554221,87.51829268292704,427.87728459529995,778.2493368700258,2224.080000000001,6251.116022099452,py,"[100.0, 0.25]",D-CMS,500,1
20122.98192771093,19978.973577235756,19761.65796344643,19560.469496021215,18084.39111111111,14097.580110497249,py,"[100.0, 0.25]",D-CMS,1000,1
176.92707192296453,187.63016197285611,213.7119638826184,336.7466666666667,762.9912280701751,1702.548387096775,py,"[100.0, 0.75]",D-CMS,50,1
109.89186277460244,124.78696921056395,152.38352144469528,293.8631249999999,743.1116959064329,1780.9403225806454,py,"[100.0, 0.75]",D-CMS,100,1
85.51393319289897,96.04158762585735,129.7016553799848,269.15833333333313,729.3099415204676,1782.7741935483866,py,"[100.0, 0.75]",D-CMS,500,1
10067.031748420059,10058.168101561372,10025.206922498104,9819.103124999992,9318.20175438596,8140.959677419351,py,"[100.0, 0.75]",D-CMS,1000,1
308.23103808033443,311.0371134020606,328.16086956521633,427.4371951219517,644.4432172869141,982.6767123287668,py,"[1000.0, 0.25]",D-CMS,50,1
207.18179447052654,211.15428368290034,241.57065217391286,337.99207317073086,598.1404561824731,990.4383561643838,py,"[1000.0, 0.25]",D-CMS,100,1
141.49817423056868,149.11322431567726,177.9226588628767,301.92804878048696,570.3799519807924,1067.5821917808216,py,"[1000.0, 0.25]",D-CMS,500,1
3153.8442879499257,3145.0458585140414,3090.2767558528394,2977.949390243906,2632.3745498199305,2163.1027397260264,py,"[1000.0, 0.25]",D-CMS,1000,1
189.15771154066545,191.9516667992674,197.25984943538285,218.64691588785075,278.4727959697735,326.88305084745787,py,"[1000.0, 0.75]",D-CMS,50,1
122.55116160869918,125.18442199061256,131.29673776662477,163.36261682242954,231.8161209068007,312.4406779661016,py,"[1000.0, 0.75]",D-CMS,100,1
95.0669093174676,96.93961333439584,105.6005855290674,138.51962616822433,215.8010075566747,307.52542372881356,py,"[1000.0, 0.75]",D-CMS,500,1
2208.136245143018,2206.572360569666,2196.690715181922,2150.7495327102797,2031.8690176322393,1867.1186440677961,py,"[1000.0, 0.75]",D-CMS,1000,1
43.77124183006538,80.62857142857146,445.26595744680844,807.2153846153847,3042.48076923077,11980.415384615384,py,"[10.0, 0.25]",D-CMS,50,10
43.77124183006538,80.62857142857146,445.26595744680844,807.2153846153847,3042.48076923077,11980.415384615384,py,"[10.0, 0.25]",D-CMS,100,10
43.77124183006538,80.62857142857146,445.26595744680844,807.2153846153847,3042.48076923077,11980.415384615384,py,"[10.0, 0.25]",D-CMS,500,10
58643.95424836604,58596.1142857143,58247.63829787234,57932.661538461536,55698.24999999998,46762.55384615384,py,"[10.0, 0.25]",D-CMS,1000,10
92.14793572056107,127.86760634281461,155.30633572828214,327.39298892988927,1264.8571428571424,5206.161616161616,py,"[10.0, 0.75]",D-CMS,50,10
