ndata,model,mean_fn,error_J_50,error_J_100,error_J_500,error_J_1000,PY_THETA,PY_ALPHA,repnum
250000,NGG,avg,15312.789602024823,15800.993037607479,16791.468321766333,15879.021660106791,10.0,0.75,10
250000,DP,geom,26350.93092893264,26144.435838614834,24944.526051864756,23843.47061593969,10.0,0.75,10
250000,DP,avg,26350.567605236065,26143.90331533005,24944.515230735757,23843.47061593969,10.0,0.75,10
5000,NGG,geom,1782.17931696394,1798.401794342774,1870.8929713134767,1983.6621838775136,100.0,0.75,7
5000,NGG,avg,1781.260793678502,1797.1708723473175,1899.3745362306126,1987.9298542883744,100.0,0.75,7
5000,DP,geom,1978.8860858090206,1925.5241043524854,1663.2129326537965,1565.443175749066,100.0,0.75,7
5000,DP,avg,1975.7655195688442,1924.3940710579714,1663.2041559621448,1565.4431757490665,100.0,0.75,7
10000,NGG,geom,2780.0090904355648,2813.230084117875,3003.2741052920273,2998.75817676273,100.0,0.75,7
10000,NGG,avg,2800.8459992892367,2804.0631355005135,2920.754600447288,3029.0456245387477,100.0,0.75,7
10000,DP,geom,3549.4190853331475,3499.8348558469693,2937.787693785623,2635.337903095815,100.0,0.75,7
10000,DP,avg,3545.7675710018702,3498.7662116648453,2937.6803748878992,2635.337903095815,100.0,0.75,7
100000,NGG,geom,13684.590849737271,13882.997823615337,14821.785786921131,14984.523461173998,100.0,0.75,7
100000,NGG,avg,13670.23157149755,13521.70044932728,14146.913974820458,15212.238544082073,100.0,0.75,7
100000,DP,geom,23715.307915223766,23443.208750729973,21876.474342718626,20568.14421229886,100.0,0.75,7
100000,DP,avg,23711.260614395276,23440.345565876836,21876.448010926666,20568.14421229886,100.0,0.75,7
250000,NGG,geom,28092.749645053227,28089.06751472892,30970.44122884652,29131.986568826058,100.0,0.75,7
250000,NGG,avg,27958.063605136747,28420.580116093235,30303.57709904241,29439.140820133256,100.0,0.75,7
250000,DP,geom,48660.46723603688,48297.11707431162,46458.72612421696,44644.907530291086,100.0,0.75,7
250000,DP,avg,48650.919774978036,48295.167955590645,46456.432353789874,44644.907530291086,100.0,0.75,7
5000,NGG,geom,2946.1073659839994,2931.2791993493984,2911.8615054119664,2871.624548559951,1000.0,0.75,9
5000,NGG,avg,2943.0695797882563,2937.052526588097,2913.2182812603933,2898.9635581471684,1000.0,0.75,9
5000,DP,geom,2314.486035801545,2314.4818088498587,2069.4684831959585,1937.0600363534054,1000.0,0.75,9
5000,DP,avg,2304.8475306399273,2310.089224697924,2069.130039059729,1937.060036353405,1000.0,0.75,9
10000,NGG,geom,4745.5072971012205,4715.248189022962,4753.0078497846425,4721.640109662482,1000.0,0.75,9
10000,NGG,avg,4769.7944689785345,4761.9186112641355,4735.714868269282,4669.811235380674,1000.0,0.75,9
10000,DP,geom,4031.2825974625734,3954.4215838400787,3482.36868124425,3262.364764978935,1000.0,0.75,9
10000,DP,avg,4014.7378806659167,3947.681947572825,3481.898566256157,3262.3647649789355,1000.0,0.75,9
100000,NGG,geom,24956.756510576255,25248.987229608167,25432.870385035247,26206.628888639167,1000.0,0.75,9
100000,NGG,avg,25098.350674712667,25533.645389162233,25354.003508610942,25934.884880294485,1000.0,0.75,9
100000,DP,geom,33284.887801333745,33138.85260799035,31166.60918585588,29452.157543252142,1000.0,0.75,9
100000,DP,avg,33187.74818658888,33112.82766375625,31159.087452371492,29452.15754325215,1000.0,0.75,9
250000,NGG,geom,47334.101775908166,47504.023655908204,49918.9472511597,47566.07956811878,1000.0,0.75,9
250000,NGG,avg,47934.44173252103,47680.314931821325,46819.85326214331,47604.155497660686,1000.0,0.75,9
250000,DP,geom,72569.01336793673,72514.68658880747,69951.42907838424,67591.26383537125,1000.0,0.75,9
250000,DP,avg,72491.05103210165,72491.802931922,69950.04238342124,67591.26383537124,1000.0,0.75,9
5000,NGG,geom,2912.3856225835507,2903.001574005366,2863.705658584083,2861.4097975359687,1000.0,0.75,8
5000,NGG,avg,2916.8811790492427,2908.7064196474166,2908.8795808130585,2852.329576981913,1000.0,0.75,8
5000,DP,geom,2251.1365118561926,2254.3090688354596,2008.7415085676746,1859.1164684541939,1000.0,0.75,8
5000,DP,avg,2238.4339455902705,2251.5338437143205,2008.7410486924705,1859.1164684541948,1000.0,0.75,8
10000,NGG,geom,4741.4093847931035,4709.282794710632,4715.249465973305,4707.135859722569,1000.0,0.75,8
10000,NGG,avg,4728.839780922066,4731.402726709266,4697.305711337547,4695.64324515959,1000.0,0.75,8
10000,DP,geom,4164.247702360724,3953.9083299548643,3527.4855323600377,3145.067680334824,1000.0,0.75,8
10000,DP,avg,4144.952811353876,3943.36349616769,3527.4310284657013,3145.0676803348256,1000.0,0.75,8
100000,NGG,geom,25440.18953941926,25351.693993871602,25525.93668424915,24892.32702900834,1000.0,0.75,8
100000,NGG,avg,25149.479878401886,25036.03246672908,25618.38863072568,26092.802852408156,1000.0,0.75,8
100000,DP,geom,33512.58824735949,33870.55479586033,31578.558751453384,29685.291504042798,1000.0,0.75,8
100000,DP,avg,33438.385004885284,33861.123549055184,31574.630833292802,29685.29150404281,1000.0,0.75,8
250000,NGG,geom,47466.27039547211,48918.44881994374,47346.44552056453,47718.0128148718,1000.0,0.75,8
250000,NGG,avg,46994.41404137539,47899.24702776746,46455.367471400656,47201.94544969373,1000.0,0.75,8
250000,DP,geom,73806.41830606927,73539.40145153459,70965.16112342491,68153.50126911218,1000.0,0.75,8
250000,DP,avg,73722.43103830196,73497.96373641524,70959.54348263031,68153.50126911218,1000.0,0.75,8
5000,NGG,geom,3016.8761648372206,3002.0097172580827,2947.961345455752,2954.6497244928996,1000.0,0.75,1
