"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,J,repnum
26.026874246721647,162.86169038760644,184.86263905935184,649.5348853162991,1783.2044652577697,14421.859470498552,py,"[10.0, 0.25]",DP,100,17
35.593672009542495,236.24950258476073,264.3717328435264,957.053853691409,2658.130805139845,20046.821995056238,py,"[10.0, 0.25]",DP,500,17
149.75114077408347,460.50789091528173,542.839872901002,1617.286137744942,4624.544542566155,21440.663245545416,py,"[10.0, 0.25]",DP,1000,17
195.43305106866512,194.82907500972567,194.20256599014365,211.7074358109783,215.39357169754825,1276.6616169980948,py,"[10.0, 0.75]",DP,100,17
145.04465296853155,152.36949397377705,160.16497138626843,340.3544255120366,673.7753638824746,3013.9910792994324,py,"[10.0, 0.75]",DP,500,17
349.4631222371318,404.87653926134874,329.35660426020246,642.589718030631,1067.4087078555194,4576.936361147512,py,"[10.0, 0.75]",DP,1000,17
58.769541484980685,66.2950466185276,101.29058122251793,216.0345092029932,634.1325575698803,1284.585854454766,py,"[100.0, 0.25]",DP,100,17
99.77064424640935,127.00045418779617,226.78523653069016,522.49220599566,1977.2445020668565,5706.411120426887,py,"[100.0, 0.25]",DP,500,17
448.0339895346512,480.8010248758838,795.1309135488294,918.2891921304553,2882.5008388780893,7244.6879730464825,py,"[100.0, 0.25]",DP,1000,17
128.01756084713688,126.99914829957245,123.27373419700153,104.92737379816884,61.0689878330778,650.3984389091181,py,"[100.0, 0.75]",DP,100,17
170.88145071111285,171.86008604436876,178.2724973378922,195.87411575652368,304.06216130217877,623.4369456641632,py,"[100.0, 0.75]",DP,500,17
256.95252956931654,264.2154466688731,278.67093516397284,314.97616809953047,515.3059197628858,1251.4355040198855,py,"[100.0, 0.75]",DP,1000,17
96.70032702891321,95.13183014492638,90.0545456604618,71.49437522464751,43.49684274162879,364.6828725401379,py,"[1000.0, 0.25]",DP,100,17
179.70977828708916,176.24301358003987,180.22900798631596,218.85067040693477,305.72179046577855,433.21210513474296,py,"[1000.0, 0.25]",DP,500,17
275.414553082708,277.43232903753665,286.8492300968614,367.16297087052766,536.6796046309724,903.9843706547899,py,"[1000.0, 0.25]",DP,1000,17
21.028550802118644,19.478299442357027,13.871132058677276,10.555288271659789,95.7674942548395,428.93359570320627,py,"[1000.0, 0.75]",DP,100,17
70.8709355686869,69.88777623672283,65.01000741240998,48.29406904097166,43.40991600633815,311.8516389999448,py,"[1000.0, 0.75]",DP,500,17
