DP,NGG,TrueK,DataGen,Params
8.827858738527253,8.81853191945099,20,py,"[10.0, 0.0]"
13.604040240842453,41.032539407758996,47,py,"[10.0, 0.0]"
17.236682327659054,216.36586971752808,73,py,"[10.0, 0.0]"
20.896758489816435,746.5272809978544,104,py,"[10.0, 0.0]"
8.543641339409113,NaN,29,py,"[10.0, 0.25]"
15.317524378673607,22.733587970648237,90,py,"[10.0, 0.25]"
27.514457448552378,252.9957149484342,192,py,"[10.0, 0.25]"
46.503788764221454,763.1481056079509,361,py,"[10.0, 0.25]"
9.839405964459171,11.302235848188705,35,py,"[10.0, 0.5]"
22.93815495922172,37.594230917093306,153,py,"[10.0, 0.5]"
63.32902319088668,351.4234791005211,532,py,"[10.0, 0.5]"
247.68722135544232,1944.7637202735505,1633,py,"[10.0, 0.5]"
11.590335052353703,NaN,59,py,"[10.0, 0.75]"
46.017482197578595,63.17274612158313,384,py,"[10.0, 0.75]"
372.14520830575475,626.9733627209587,2201,py,"[10.0, 0.75]"
631.7334432644619,3437.7022967055555,12136,py,"[10.0, 0.75]"
11.738636050602054,NaN,76,py,"[100.0, 0.0]"
33.83933918847667,59.71622800196776,251,py,"[100.0, 0.0]"
55.72314731898348,290.3001154231004,449,py,"[100.0, 0.0]"
71.14367826692671,1688.7595861730101,666,py,"[100.0, 0.0]"
11.154429656633354,NaN,72,py,"[100.0, 0.25]"
42.27283169214947,61.041350054677416,331,py,"[100.0, 0.25]"
113.0252897495115,424.0335029883001,928,py,"[100.0, 0.25]"
359.347147953037,2507.529255995939,2009,py,"[100.0, 0.25]"
12.052071121999651,10.169173356288491,90,py,"[100.0, 0.5]"
56.847556287583274,78.51493446010235,474,py,"[100.0, 0.5]"
396.8573134340681,808.4761463321292,1909,py,"[100.0, 0.5]"
686.7814005382875,3588.0671745696036,6230,py,"[100.0, 0.5]"
14.26865056413336,10.913910846615625,93,py,"[100.0, 0.75]"
81.5986010016424,89.77832473782615,668,py,"[100.0, 0.75]"
795.7514354047837,969.7535124273131,3964,py,"[100.0, 0.75]"
1560.7350585951601,6722.442715015307,22586,py,"[100.0, 0.75]"
12.818348343947779,NaN,98,py,"[1000.0, 0.0]"
87.80644213447876,102.28629258106407,693,py,"[1000.0, 0.0]"
809.78613269319,934.9823928905328,2365,py,"[1000.0, 0.0]"
1454.135376660623,5159.360207332888,4570,py,"[1000.0, 0.0]"
14.168069413291342,NaN,97,py,"[1000.0, 0.25]"
87.55396157004861,100.46213221340781,761,py,"[1000.0, 0.25]"
1086.1023345839706,1052.0970409552187,3285,py,"[1000.0, 0.25]"
2086.7167768989043,6427.0513905729185,8527,py,"[1000.0, 0.25]"
13.534258051339563,NaN,98,py,"[1000.0, 0.5]"
96.88144015254929,113.62048723586766,808,py,"[1000.0, 0.5]"
1496.1885138797431,1151.3629644044404,4780,py,"[1000.0, 0.5]"
3299.5477599978262,9073.782021909456,18071,py,"[1000.0, 0.5]"
14.42316542615892,NaN,95,py,"[1000.0, 0.75]"
134.40531489211594,129.6365375513873,904,py,"[1000.0, 0.75]"
2712.7742159535787,1327.1080426340218,6531,py,"[1000.0, 0.75]"
7200.151305809222,11011.214153001943,39745,py,"[1000.0, 0.75]"
