"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,J,repnum
44.169354838709666,349.987012987013,256.1617647058824,1086.3529411764705,4514.324324324324,15719.145454545456,py,"[10.0, 0.25]",CMS,50,1
44.169354838709666,349.987012987013,256.1617647058824,1086.3529411764705,4514.324324324324,15719.145454545456,py,"[10.0, 0.25]",CMS,100,1
44.169354838709666,349.987012987013,256.1617647058824,1086.3529411764705,4514.324324324324,15719.145454545456,py,"[10.0, 0.25]",CMS,500,1
48.717741935483865,352.0909090909091,257.19117647058823,1086.627450980392,4514.324324324324,15719.145454545456,py,"[10.0, 0.25]",CMS,1000,1
1031.132458172466,1049.2702233250614,1092.5214057507976,1319.676007005253,1967.4213197969532,5582.801980198021,py,"[10.0, 0.75]",CMS,50,1
484.48607464607767,498.8689826302757,541.6415335463255,758.0315236427329,1428.3045685279187,5036.019801980198,py,"[10.0, 0.75]",CMS,100,1
127.58985842985724,143.2014888337466,181.8127795527156,404.4098073555166,1076.8172588832488,4666.683168316833,py,"[10.0, 0.75]",CMS,500,1
235.98774774774446,271.04813895781507,257.420447284345,434.7180385288967,1044.7512690355336,4639.89108910891,py,"[10.0, 0.75]",CMS,1000,1
103.97740963855402,158.83130081300789,489.7597911227154,871.7214854111418,2331.1866666666656,6359.292817679558,py,"[100.0, 0.25]",CMS,50,1
57.45632530120488,105.04878048780508,426.6161879895557,809.1830238726792,2252.4533333333347,6286.950276243095,py,"[100.0, 0.25]",CMS,100,1
60.59939759036163,89.02642276422756,431.6057441253259,785.1777188328907,2232.0266666666657,6258.883977900554,py,"[100.0, 0.25]",CMS,500,1
240.01807228915732,384.02642276422694,601.3420365535239,802.5305039787792,2278.6088888888885,6265.419889502761,py,"[100.0, 0.25]",CMS,1000,1
2079.7997592536394,2092.1692689333036,2132.2659894657622,2276.4604166666672,2781.8274853801163,3814.5161290322594,py,"[100.0, 0.75]",CMS,50,1
961.980680108274,975.1249087990758,1009.8427389014295,1172.4885416666657,1680.7514619883034,2756.370967741935,py,"[100.0, 0.75]",CMS,100,1
223.5561239843441,235.7285860207212,272.29157261098584,423.9541666666664,918.2807017543862,1998.8709677419356,py,"[100.0, 0.75]",CMS,500,1
255.96825157988692,264.831898438639,297.79307750188093,503.8968750000006,1004.7982456140355,2182.040322580645,py,"[100.0, 0.75]",CMS,1000,1
