100,1000,10000,100000,DataGen,Params,Model,repnum
44.03169653795523,251.61313826425578,1340.459295186225,9210.818845781278,zipf,1.3,DP,5
NaN,237.5366002408116,1178.7077593008826,6951.375245275718,zipf,1.3,NGG,5
19.18395137597416,89.77360992734354,406.08258586863985,1649.4844776446155,zipf,1.6,DP,5
NaN,54.89178635675349,92.20318018557293,62.201293932265344,zipf,1.6,NGG,5
10.503571325992175,37.04245309408552,153.81539569499188,547.4602385060047,zipf,1.9,DP,5
NaN,4.606346184075306,80.21773453117862,356.9024661159734,zipf,1.9,NGG,5
3.0727385426540623,22.06962749643573,69.80433751280383,221.64392790661626,zipf,2.2,DP,5
NaN,10.24855521204244,150.33759832836765,541.6686761903707,zipf,2.2,NGG,5
34.36646605656254,235.3697436786296,1404.0591333349512,9242.472547556461,zipf,1.3,DP,10
NaN,NaN,1209.2408240454108,6390.121418640076,zipf,1.3,NGG,10
10.187211207878661,85.39650677193596,426.16152643858953,1668.3823268099234,zipf,1.6,DP,10
NaN,36.35014005954609,179.14559840068222,452.76598467443523,zipf,1.6,NGG,10
6.9195092814148165,38.845029408904345,156.19172508522252,550.3098196436379,zipf,1.9,DP,10
4.837198106240759,4.6939929624461385,89.28236004925066,578.9822195282738,zipf,1.9,NGG,10
1.0341968931325862,14.979263939692785,72.72534837301514,231.84206283450607,zipf,2.2,DP,10
NaN,16.601318014764274,107.17177537438613,392.33112868137687,zipf,2.2,NGG,10
40.63979288989405,258.5638560053618,1353.609864676791,9196.55689782342,zipf,1.3,DP,9
NaN,247.79432004093036,1133.9048395391862,6214.911851390194,zipf,1.3,NGG,9
21.550553572609257,93.57965880564015,417.51115419281166,1669.8762744722335,zipf,1.6,DP,9
NaN,81.23747667083376,152.57858323443855,599.5384938376283,zipf,1.6,NGG,9
6.299785016374133,36.72185602884148,153.4177118554991,522.3871789815448,zipf,1.9,DP,9
NaN,9.85451124760391,88.30457938432397,719.359821212844,zipf,1.9,NGG,9
4.561839072899744,23.98517635506604,66.49919191937883,237.67407871706033,zipf,2.2,DP,9
4.348189991679251,15.124992905927684,105.37278142779462,581.892902957431,zipf,2.2,NGG,9
34.247835646481875,234.42289464990017,1348.525406680051,9185.878445352842,zipf,1.3,DP,6
NaN,221.2375721765598,1075.80013820579,6987.924397711752,zipf,1.3,NGG,6
12.777511623417675,91.2948606912257,390.64544660958484,1642.3956638178395,zipf,1.6,DP,6
NaN,56.255069486482746,169.67769706742183,247.13353683765627,zipf,1.6,NGG,6
5.99939749512961,41.320526536755615,151.59318192272394,541.2028307258547,zipf,1.9,DP,6
NaN,8.633985890016397,56.16479286499961,271.3628925460549,zipf,1.9,NGG,6
6.76108665359089,23.223543612910248,73.95385007872817,217.4091904708331,zipf,2.2,DP,6
6.900873573937856,5.937187112644118,135.461574330386,391.0960631393325,zipf,2.2,NGG,6
30.936729001713665,234.89525826658317,1399.236777163571,9148.359230650878,zipf,1.3,DP,1
NaN,216.11799678148023,1208.720329832211,6582.146593343104,zipf,1.3,NGG,1
15.047277503625011,93.06448295326163,411.65282277143586,1700.644502590539,zipf,1.6,DP,1
NaN,71.91692792074721,127.82688296356639,197.62692384617844,zipf,1.6,NGG,1
9.45525516286547,40.4492847124799,152.24582003997645,540.0521438629557,zipf,1.9,DP,1
8.787666672359844,3.3778279301271468,123.43721710180023,769.485702777733,zipf,1.9,NGG,1
4.743938269106012,19.90808837028333,65.06087073626168,231.29751658093463,zipf,2.2,DP,1
4.514171676320448,24.265856857233175,140.744808251927,794.5559656446248,zipf,2.2,NGG,1
35.45011265339684,249.05852932192724,1375.6742922328574,9144.699463092737,zipf,1.3,DP,7
NaN,234.7435952404075,1220.4715977906333,6085.642726311302,zipf,1.3,NGG,7
9.704709079854,81.147108950938,402.5704761718236,1641.7424031242128,zipf,1.6,DP,7
NaN,47.20559882696276,63.42155428434904,511.4072038382121,zipf,1.6,NGG,7
8.974899687102765,43.064476000312816,159.3849046438326,532.9431836837692,zipf,1.9,DP,7
NaN,7.525075931480501,87.1053333774924,460.9743362546601,zipf,1.9,NGG,7
2.517852263317309,17.527373271143233,70.52585985446109,214.91435869929796,zipf,2.2,DP,7
1.4925518529121717,21.971381422786557,93.25310221256856,529.0841870554168,zipf,2.2,NGG,7
33.67183641028255,233.05617755386166,1334.7619473569957,9241.054372109767,zipf,1.3,DP,3
NaN,220.27754030061038,1232.9552855079128,6794.167094687469,zipf,1.3,NGG,3
18.716632795190684,96.57993774421561,402.01387974986466,1626.8092707971396,zipf,1.6,DP,3
NaN,74.51618617835854,177.34507227867425,121.02157174982335,zipf,1.6,NGG,3
3.4140053723360717,38.67878858516562,146.3682092305209,518.0619328151834,zipf,1.9,DP,3
2.486044025787578,1.5160620349499965,44.93413605528278,363.8947601560102,zipf,1.9,NGG,3
2.7698948976101567,15.613472513618218,85.27776678774097,230.90977387053334,zipf,2.2,DP,3
2.8038553774104935,22.83697647883919,140.6130884876367,645.6708168138289,zipf,2.2,NGG,3
36.8281839274229,240.22053596485156,1404.3447298555864,9191.953770581713,zipf,1.3,DP,2
NaN,NaN,1231.5701758061552,6663.966923641666,zipf,1.3,NGG,2
18.983050145871058,87.05893091383592,408.1212866533878,1626.6100187154539,zipf,1.6,DP,2
NaN,63.415992346725204,131.840352906082,13.149351827293913,zipf,1.6,NGG,2
8.068304329168946,45.873930137486845,149.2312648510462,552.5088087068478,zipf,1.9,DP,2
NaN,1.6208663741523992,43.77249062333263,509.024755908747,zipf,1.9,NGG,2
3.0020903071147194,17.8772407793875,66.37661376700093,226.00890293847615,zipf,2.2,DP,2
